arrangement,pa_type,subtype,row,column
1,visible,,2,3
1,visible,,10,3
1,visible,near,7,4
1,visible,near,3,6
1,visible,,8,11
1,visible,,11,10
1,hidden,near,7,5
1,hidden,near,4,6
1,hidden,far,9,7
1,hidden,far,6,8
1,hidden,,5,2
1,hidden,,3,9
2,visible,,9,2
2,visible,,11,3
2,visible,,2,5
2,visible,near,9,6
2,visible,near,7,10
2,visible,,4,11
2,hidden,near,8,6
2,hidden,near,7,9
2,hidden,far,6,4
2,hidden,far,5,7
2,hidden,,3,3
2,hidden,,11,8
3,visible,,3,2
3,visible,near,7,3
3,visible,,11,5
3,visible,near,4,6
3,visible,,2,10
3,visible,,10,11
3,hidden,near,7,4
3,hidden,near,5,6
3,hidden,far,8,7
3,hidden,far,6,9
3,hidden,,10,3
3,hidden,,2,8
4,visible,,2,2
4,visible,,9,2
4,visible,near,10,6
4,visible,near,8,9
4,visible,,6,11
4,visible,,3,11
4,hidden,near,9,6
4,hidden,near,8,8
4,hidden,far,5,5
4,hidden,far,4,7
4,hidden,,2,4
4,hidden,,10,10
5,visible,,3,2
5,visible,,11,3
5,visible,,3,7
5,visible,near,7,9
5,visible,near,5,10
5,visible,,2,11
5,hidden,near,7,8
5,hidden,near,5,9
5,hidden,far,8,4
5,hidden,far,6,5
5,hidden,,3,3
5,hidden,,11,7
6,visible,,5,2
6,visible,,10,5
6,visible,,7,6
6,visible,,3,8
6,visible,,11,10
6,visible,near,4,11
6,hidden,,9,3
6,hidden,,2,5
6,hidden,near,4,10
7,visible,,4,2
7,visible,,11,3
7,visible,,9,6
7,visible,near,5,7
7,visible,,3,8
7,visible,near,8,10
7,hidden,,8,3
7,hidden,near,5,6
7,hidden,near,9,10
